{78786D00-0000-0001-C000-000000000001}  xxmLocalHandler (IProtocolHandler)
{78786D00-0000-0002-C000-000000000002}  xxmProject
{78786D00-0000-0003-C000-000000000003}  xxmContext
{78786D00-0000-0004-C000-000000000004}  xxmFragment
{78786D00-0000-0005-C000-000000000005}  xxmPage
{78786D00-0000-0006-C000-000000000006}  xxmInclude
{78786D00-0000-0007-C000-000000000007}  xxmParameter
{78786D00-0000-0008-C000-000000000008}  xxmParameterGet
{78786D00-0000-0009-C000-000000000009}  xxmParameterPost
{78786D00-0000-000A-C000-00000000000A}  xxmParameterPostFile
{78786D00-0000-000B-C000-00000000000B}  xxmCookie
{78786D00-0000-000C-C000-00000000000C}	xxmHttpHeaders
{78786D00-0000-000D-C000-00000000000D}  xxmDictionary
{78786D00-0000-000E-C000-00000000000E}  xxmDictionaryEx
{78786D00-0000-000F-C000-00000000000F}  xxmParameterCollection

{78786D00-0000-0010-C000-000000000010}	xxmProtocolHandler (nsIProtocolHandler)
{78786D00-0000-0011-C000-000000000011}	

{78786C00-0001-0001-C000-000000000001}	xxlHost TypeLib
{78786C00-0001-0002-C000-000000000002}	IPageHost
{78786C00-0001-0003-C000-000000000003}	xxlHost.PageHost
